scenario,step,mean_cooperation,balanced_fraction,n_blocs,modularity,polarization,conflicts,total_power
cooperative,0,0.05056935742832796,0.6868131868131868,3,0.40175748740074635,0.0,0,24.456986922148527
cooperative,1,0.11209201346630522,0.6978021978021978,2,0.2831373651097887,0.0,0,24.97671093558262
cooperative,2,0.16737508994290395,0.7307692307692307,2,0.24452905426077215,0.0,0,25.570739084069345
cooperative,3,0.21828282101087199,0.7417582417582418,2,0.21981943962620806,0.0,0,26.237787938808445
cooperative,4,0.26597785022020626,0.8131868131868132,2,0.1886933513554358,0.054945054945054944,0,26.97889676836881
cooperative,5,0.31106807011717497,0.8296703296703297,2,0.17169890966510576,0.15384615384615385,0,27.797039971620546
cooperative,6,0.3533587854323702,0.8681318681318682,2,0.16051825752788224,0.2857142857142857,0,28.694082573368508
cooperative,7,0.39429274549963744,0.9120879120879121,2,0.1429273726685623,0.38461538461538464,0,29.674767926219687
cooperative,8,0.43444860599506807,0.9395604395604396,2,0.1255400584576454,0.43956043956043955,0,30.744029410779937
cooperative,9,0.47362095064488624,1.0,2,0.1099270877851655,0.5054945054945055,0,31.90737545282179
cooperative,10,0.5120783116251966,1.0,2,0.09670955635333547,0.5604395604395604,0,33.17149438342688
cooperative,11,0.5497217389957417,1.0,2,0.08227927601491766,0.6593406593406593,0,34.543373157293736
cooperative,12,0.5863179972316147,1.0,2,0.0706460287634183,0.6813186813186813,0,36.03099119414752
cooperative,13,0.6223658294983438,1.0,2,0.05976309784172085,0.7252747252747253,0,37.642834214296236
cooperative,14,0.6575180484393905,1.0,2,0.04948679977809878,0.8021978021978022,0,39.38654579872019
cooperative,15,0.6921367493717244,1.0,2,0.03795328768452738,0.8351648351648352,0,41.2742360448716
cooperative,16,0.7253941858800134,1.0,2,0.029229859651746876,0.8791208791208791,0,43.31498588546458
cooperative,17,0.7575335513256319,1.0,2,0.020974343431809345,0.9230769230769231,0,45.51811794895668
cooperative,18,0.7879228531348831,1.0,2,0.013261552267197219,0.978021978021978,0,47.89529847776796
cooperative,19,0.8161730118357704,1.0,2,0.0029673790038358544,1.0,0,50.45514121288684
cooperative,20,0.8419597675766202,1.0,1,4.440892098500626e-16,1.0,0,53.20749744611798
cooperative,21,0.8650722571831921,1.0,1,-2.220446049250313e-16,1.0,0,56.16182562996238
cooperative,22,0.8851871625591402,1.0,1,-5.551115123125783e-16,1.0,0,59.32763461929233
cooperative,23,0.9024090881752691,1.0,1,-1.1102230246251565e-16,1.0,0,62.714755326046536
cooperative,24,0.9170477249489787,1.0,1,4.440892098500626e-16,1.0,0,66.33368107411869
cooperative,25,0.929490566206632,1.0,1,5.551115123125783e-16,1.0,0,70.19543893824178
cooperative,26,0.9400669812756374,1.0,1,2.220446049250313e-16,1.0,0,74.31357595376905
cooperative,27,0.9490569340842916,1.0,1,-1.1102230246251565e-16,1.0,0,78.70086000455385
cooperative,28,0.9566983939716479,1.0,1,2.220446049250313e-16,1.0,0,83.37256806550975
cooperative,29,0.9631936348759007,1.0,1,0.0,1.0,0,88.34396407478339
cooperative,30,0.9687145896445156,1.0,1,0.0,1.0,0,93.63192566161473
cooperative,31,0.9734074011978383,1.0,1,2.220446049250313e-16,1.0,0,99.25541634441058
cooperative,32,0.9773962910181627,1.0,1,4.440892098500626e-16,1.0,0,105.23351223127692
cooperative,33,0.9807868473654382,1.0,1,4.440892098500626e-16,1.0,0,111.58633605755603
cooperative,34,0.9836688202606224,1.0,1,-3.3306690738754696e-16,1.0,0,118.336031193888
cooperative,35,0.986118497221529,1.0,1,0.0,1.0,0,125.50638627837934
cooperative,36,0.9882007226382997,1.0,1,-4.440892098500626e-16,1.0,0,133.12190524782577
cooperative,37,0.9899706142425548,1.0,1,0.0,1.0,0,141.21044610456286
cooperative,38,0.9914750221061714,1.0,1,2.220446049250313e-16,1.0,0,149.798892125874
cooperative,39,0.9927537687902458,1.0,1,2.220446049250313e-16,1.0,0,158.91772230185552
cooperative,40,0.993840703471709,1.0,1,2.220446049250313e-16,1.0,0,168.5986720291757
cooperative,41,0.9947645979509527,1.0,1,-3.3306690738754696e-16,1.0,0,178.8764074084082
cooperative,42,0.9955499082583097,1.0,1,2.220446049250313e-16,1.0,0,189.78549334613842
cooperative,43,0.9962174220195633,1.0,1,-3.3306690738754696e-16,1.0,0,201.36707625312266
cooperative,44,0.9967848087166287,1.0,1,-4.440892098500626e-16,1.0,0,213.66084835174254
cooperative,45,0.9972670874091344,1.0,1,6.661338147750939e-16,1.0,0,226.7101385245089
cooperative,46,0.9976770242977642,1.0,1,-1.1102230246251565e-16,1.0,0,240.56032191857872
cooperative,47,0.9980254706530997,1.0,1,0.0,1.0,0,255.25942651083417
cooperative,48,0.9983216500551348,1.0,1,2.220446049250313e-16,1.0,0,270.8615859648306
cooperative,49,0.9985734025468646,1.0,1,2.220446049250313e-16,1.0,0,287.42106816524455
cooperative,50,0.9987873921648348,1.0,1,-3.3306690738754696e-16,1.0,0,304.9952019817708
cooperative,51,0.9989692833401096,1.0,1,-3.3306690738754696e-16,1.0,0,323.6458163740091
cooperative,52,0.9991238908390931,1.0,1,-4.440892098500626e-16,1.0,0,343.4402762661272
cooperative,53,0.9992553072132291,1.0,1,-1.1102230246251565e-16,1.0,0,364.4488019760091
cooperative,54,0.9993670111312449,1.0,1,2.220446049250313e-16,1.0,0,386.74372674383795
cooperative,55,0.9994619594615582,1.0,1,2.220446049250313e-16,1.0,0,410.4054630507501
cooperative,56,0.9995426655423243,1.0,1,-4.440892098500626e-16,1.0,0,435.51525027623256
cooperative,57,0.9996112657109757,1.0,1,2.220446049250313e-16,1.0,0,462.16265121099013
cooperative,58,0.9996695758543294,1.0,1,2.220446049250313e-16,1.0,0,490.4438933169846
